FO ROW ID,DF,,,Row Labels,Count of DATE_TIME_STAMP_Begin,DF,delta
79,1,,,79,1,1,0
261,1,,,261,1,1,0
264,4,,,264,4,4,0
429,4,,,429,4,4,0
695,1,,,695,1,1,0
704,1,,,704,1,1,0
736,1,,,736,1,1,0
938,5,,,938,5,5,0
1073,4,,,1073,4,4,0
1249,1,,,1249,1,1,0
2003,1,,,2003,1,1,0
2020,2,,,2020,2,2,0
2172,3,,,2172,3,3,0
3733,1,,,3733,1,1,0
3822,1,,,3822,1,1,0
3829,1,,,3829,1,1,0
3830,1,,,3830,1,1,0
3838,1,,,3838,1,1,0
3840,1,,,3840,1,1,0
3846,1,,,3846,1,1,0
3847,2,,,3847,2,2,0
3854,2,,,3854,2,2,0
3860,5,,,3860,5,5,0
3884,5,,,3884,5,5,0
3940,2,,,3940,2,2,0
3975,2,,,3975,2,2,0
4419,3,,,4419,3,3,0
4424,1,,,4424,1,1,0
4673,15,,,4673,15,15,0
4806,4,,,4806,4,4,0
4926,53,,,4926,53,53,0
5065,2,,,5065,2,2,0
5266,2,,,5266,2,2,0
5443,18,,,5443,18,18,0
5463,2,,,5463,2,2,0
5623,1,,,5623,1,1,0
5635,4,,,5635,4,4,0
6277,5,,,6277,5,5,0
6653,2,,,6653,2,2,0
7053,2,,,7053,2,2,0
7191,1,,,7191,1,1,0
7554,6,,,7554,6,6,0
7633,1,,,7633,1,1,0
7694,2,,,7694,2,2,0
8133,3,,,8133,3,3,0
8288,2,,,8288,2,2,0
8487,9,,,8487,9,9,0
8598,1,,,8598,1,1,0
8847,1,,,8847,1,1,0
8907,1,,,8907,1,1,0
9290,8,,,9290,8,8,0
9588,1,,,9588,1,1,0
9666,8,,,9666,8,8,0
10087,9,,,10087,9,9,0
10206,5,,,10206,5,5,0
10447,2,,,10447,2,2,0
10448,2,,,10448,2,2,0
10466,1,,,10466,1,1,0
10648,1,,,10648,1,1,0
10907,43,,,10907,43,43,0
10996,4,,,10996,4,4,0
12107,5,,,12107,5,5,0
12113,1,,,12113,1,1,0
12927,1,,,12927,1,1,0
12949,1,,,12949,1,1,0
12955,5,,,12955,5,5,0
13055,6,,,13055,6,6,0
13186,8,,,13186,8,8,0
13589,3,,,13589,3,3,0
13686,5,,,13686,5,5,0
13809,16,,,13809,16,16,0
13810,10,,,13810,10,10,0
14466,4,,,14466,4,4,0
14921,13,,,14921,13,13,0
15148,2,,,15148,2,2,0
15206,1,,,15206,1,1,0
16067,14,,,16067,14,14,0
16306,1,,,16306,1,1,0
16866,1,,,16866,1,1,0
19200,10,,,19200,10,10,0
20374,3,,,20374,3,3,0
20549,1,,,20549,1,1,0
20556,5,,,20556,5,5,0
20568,22,,,20568,22,22,0
20573,8,,,20573,8,8,0
20579,45,,,20579,45,45,0
20749,3,,,20749,3,3,0
20795,5,,,20795,5,5,0
20891,3,,,20891,3,3,0
21339,2,,,21339,2,2,0
21486,3,,,21486,3,3,0
21501,2,,,21501,2,2,0
21934,2,,,21934,2,2,0
22439,1,,,22439,1,1,0
22450,2,,,22450,2,2,0
22978,1,,,22978,1,1,0
23002,1,,,23002,1,1,0
23981,2,,,23981,2,2,0
23988,6,,,23988,6,6,0
24044,8,,,24044,8,8,0
24322,1,,,24322,1,1,0
24493,8,,,24493,8,8,0
24652,1,,,24652,1,1,0
,,,,16866,5,1,4
,,,,18986,3,#N/A,#N/A
,,,,19200,25,10,15
,,,,20374,5,3,2
,,,,20556,6,5,1
,,,,20568,55,22,33
,,,,20573,8,8,0
,,,,20579,72,45,27
,,,,20581,2,#N/A,#N/A
,,,,20749,7,3,4
,,,,20795,16,5,11
,,,,20891,6,3,3
,,,,21339,2,2,0
,,,,21486,5,3,2
,,,,21501,8,2,6
,,,,21934,5,2,3
,,,,22439,1,1,0
,,,,22450,3,2,1
,,,,22978,6,1,5
,,,,23002,2,1,1
,,,,23981,3,2,1
,,,,23988,10,6,4
,,,,24044,6,8,-2
,,,,24322,7,1,6
,,,,24493,5,8,-3
,,,,24652,3,1,2
